hs1 0 999999 5.0000,4.0000,0.0000,0.0000,0.0000,1.0000,3.0000,4.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
hs1 1000000 1999999 0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hs1 2000000 2999999 1.0000,1.0000,1.0000,2.0000,1.0000,0.0000,1.0000,2.0000,1.0000,0.0000,1.0000,0.0000,2.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000
hs1 3000000 3999999 0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hs1 4000000 4999999 0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000
hs1 5000000 5999999 0.0000,0.0000,7.0000,0.0000,8.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hs1 6000000 6999999 1.0000,1.0000,0.0000,1.0000,2.0000,4.0000,0.0000,0.0000,0.0000,0.0000,2.0000,0.0000,1.0000,0.0000,1.0000,0.0000,2.0000,0.0000,1.0000
hs1 7000000 7999999 0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
hs1 8000000 8999999 2.0000,1.0000,2.0000,0.0000,2.0000,0.0000,0.0000,1.0000,2.0000,0.0000,0.0000,0.0000,2.0000,1.0000,1.0000,1.0000,2.0000,3.0000,0.0000
hs1 10000000 10999999 0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,2.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000
hs1 11000000 11999999 0.0000,1.0000,1.0000,2.0000,1.0000,2.0000,0.0000,0.0000,1.0000,1.0000,0.0000,1.0000,0.0000,0.0000,2.0000,2.0000,0.0000,0.0000,0.0000
hs1 12000000 12999999 0.0000,0.0000,0.0000,7.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000
hs1 13000000 13999999 0.0000,0.0000,0.0000,6.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000
hs1 14000000 14999999 0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hs1 15000000 15999999 2.0000,2.0000,1.0000,5.0000,0.0000,0.0000,1.0000,0.0000,0.0000,4.0000,1.0000,0.0000,0.0000,0.0000,1.0000,1.0000,1.0000,0.0000,0.0000
hs1 16000000 16999999 0.0000,1.0000,3.0000,7.0000,1.0000,0.0000,1.0000,1.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,2.0000,1.0000,0.0000
hs1 17000000 17999999 0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hs1 18000000 18999999 1.0000,0.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hs1 19000000 19999999 0.0000,2.0000,3.0000,3.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,2.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000
hs1 20000000 20999999 1.0000,1.0000,2.0000,1.0000,1.0000,1.0000,2.0000,0.0000,0.0000,0.0000,1.0000,0.0000,2.0000,0.0000,0.0000,0.0000,0.0000,1.0000,0.0000
