hs1 0 999999 0.2778,0.2222,0.0000,0.0000,0.0000,0.0556,0.1667,0.2222,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0556,0.0000,0.0000
hs1 1000000 1999999 0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hs1 2000000 2999999 0.0667,0.0667,0.0667,0.1333,0.0667,0.0000,0.0667,0.1333,0.0667,0.0000,0.0667,0.0000,0.1333,0.0000,0.0000,0.1333,0.0000,0.0000,0.0000
hs1 3000000 3999999 0.0000,0.2000,0.2000,0.0000,0.0000,0.0000,0.4000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hs1 4000000 4999999 0.0000,0.0000,0.0000,0.4000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.2000,0.0000,0.0000,0.0000,0.0000
hs1 5000000 5999999 0.0000,0.0000,0.4667,0.0000,0.5333,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hs1 6000000 6999999 0.0625,0.0625,0.0000,0.0625,0.1250,0.2500,0.0000,0.0000,0.0000,0.0000,0.1250,0.0000,0.0625,0.0000,0.0625,0.0000,0.1250,0.0000,0.0625
hs1 7000000 7999999 0.0000,0.2500,0.2500,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500
hs1 8000000 8999999 0.1000,0.0500,0.1000,0.0000,0.1000,0.0000,0.0000,0.0500,0.1000,0.0000,0.0000,0.0000,0.1000,0.0500,0.0500,0.0500,0.1000,0.1500,0.0000
hs1 10000000 10999999 0.0000,0.1250,0.1250,0.0000,0.0000,0.0000,0.1250,0.1250,0.0000,0.0000,0.2500,0.1250,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1250
hs1 11000000 11999999 0.0000,0.0714,0.0714,0.1429,0.0714,0.1429,0.0000,0.0000,0.0714,0.0714,0.0000,0.0714,0.0000,0.0000,0.1429,0.1429,0.0000,0.0000,0.0000
hs1 12000000 12999999 0.0000,0.0000,0.0000,0.7000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.1000,0.0000,0.0000,0.0000,0.0000
hs1 13000000 13999999 0.0000,0.0000,0.0000,0.6000,0.0000,0.1000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1000,0.1000,0.1000,0.0000,0.0000,0.0000
hs1 14000000 14999999 0.0000,0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hs1 15000000 15999999 0.1053,0.1053,0.0526,0.2632,0.0000,0.0000,0.0526,0.0000,0.0000,0.2105,0.0526,0.0000,0.0000,0.0000,0.0526,0.0526,0.0526,0.0000,0.0000
hs1 16000000 16999999 0.0000,0.0526,0.1579,0.3684,0.0526,0.0000,0.0526,0.0526,0.1053,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1053,0.0526,0.0000
hs1 17000000 17999999 0.0000,0.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hs1 18000000 18999999 0.3333,0.0000,0.0000,0.6667,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hs1 19000000 19999999 0.0000,0.1176,0.1765,0.1765,0.0000,0.0000,0.0000,0.0000,0.0588,0.0000,0.0000,0.1176,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.0000
hs1 20000000 20999999 0.0769,0.0769,0.1538,0.0769,0.0769,0.0769,0.1538,0.0000,0.0000,0.0000,0.0769,0.0000,0.1538,0.0000,0.0000,0.0000,0.0000,0.0769,0.0000
hs1 21000000 21999999 0.2857,0.0000,0.2857,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.1429,0.0000,0.0000,0.0000,0.0000,0.0000,0.1429,0.1429,0.0000
hs1 22000000 22999999 0.0000,0.0909,0.0909,0.2727,0.0909,0.0000,0.1818,0.0000,0.0909,0.0000,0.0000,0.0000,0.0000,0.0000,0.0909,0.0000,0.0909,0.0000,0.0000
hs1 23000000 23999999 0.1111,0.1111,0.1111,0.0000,0.1111,0.0000,0.1111,0.0000,0.0000,0.0000,0.1111,0.1111,0.1111,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000
hs1 24000000 24999999 0.0000,0.0556,0.0000,0.1111,0.0000,0.0556,0.0556,0.0000,0.0000,0.0000,0.1111,0.1667,0.1667,0.1111,0.0000,0.1111,0.0000,0.0000,0.0556
hs1 25000000 25999999 0.0000,0.0000,0.5000,0.5000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
hs1 26000000 26999999 0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.0000,0.0000,0.0000,0.0000,0.2500,0.0000,0.2500,0.2500,0.0000,0.0000
hs1 27000000 27999999 0.0000,0.0625,0.1250,0.0625,0.0625,0.1250,0.0000,0.1875,0.0625,0.0000,0.0625,0.0000,0.0625,0.0625,0.0000,0.0000,0.0000,0.1250,0.0000
hs1 28000000 28999999 0.1111,0.2222,0.1111,0.0000,0.0000,0.2222,0.2222,0.0000,0.0000,0.0000,0.0000,0.1111,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
