ID	ZT0_REP1	ZT0_REP2	ZT0_REP3	ZT4_REP1	ZT4_REP2	ZT4_REP3	ZT8_REP1	ZT8_REP2	ZT8_REP3	ZT12_REP1	ZT12_REP2	ZT12_REP3	ZT16_REP1	ZT16_REP2	ZT16_REP3	ZT20_REP1	ZT20_REP2	ZT20_REP3	GroundTruth
Zfp563	2.55481	2.51514	2.5477	2.46263	2.59333	2.48481	2.41697	2.52444	2.48161	2.46331	2.53782	2.53679	2.52421	2.48746	2.50947	2.46611	2.51757	2.49438	0
LOC100861596	1.61985	1.7173	1.70004	1.64967	1.63904	1.53093	1.52903	1.55743	1.65462	1.34473	1.70417	1.68634	1.59365	1.6273	1.79098	1.66898	1.68206	1.82768	0
Olfr55	1.92238	1.73697	1.93775	1.68806	2.1239	1.83092	1.98989	1.84512	1.8771	1.7768	1.72057	1.90368	1.84115	1.66807	1.99807	1.92699	1.97034	1.86001	0
Olfr239	1.95659	1.79191	1.8028	1.82897	2.24983	1.87579	1.92203	2.07829	1.88107	1.75044	2.01462	2.05778	1.92621	1.66178	1.79016	2.04258	2.13661	1.96249	0
Olfr63	1.6851	1.63993	1.47772	1.82235	1.83897	1.73112	1.60943	1.56387	1.68766	1.44375	1.80139	1.92914	1.72103	1.75588	1.82315	1.75437	1.50205	1.79417	0
Zfp955b	3.05296	3.04279	3.08456	3.01651	3.04178	2.99503	2.96006	3.07995	2.99515	3.00368	3.00694	3.00145	2.95375	3.00554	2.96375	3.01725	3.03018	3.02679	0
Actl9	2.05107	1.84469	2.01536	1.86693	1.85605	2.00213	2.01023	1.83183	1.87816	2.04587	1.92223	1.73653	1.91708	1.91421	1.99051	2.06567	1.95858	2.05191	0
Adamts10	2.60241	2.61866	2.52264	2.60519	2.5593	2.62309	2.70188	2.61224	2.64592	2.78736	2.60205	2.53505	2.69289	2.68051	2.57767	2.59913	2.54318	2.58774	0
Myo1f	2.51256	2.8232	2.66826	2.81984	2.58525	2.7937	2.84184	2.70803	2.85585	2.96656	2.5748	2.42181	2.92013	2.96261	2.65157	2.81477	2.46673	2.6566	0
Zfp414	2.78164	2.81595	2.82295	2.79291	2.82328	2.81323	2.81451	2.74875	2.79495	2.7817	2.7816	2.74321	2.77725	2.78069	2.75514	2.8064	2.79967	2.80779	0
Pram1	2.41256	2.58089	2.40832	2.51586	2.42684	2.6085	2.51192	2.48187	2.61821	2.50429	2.49343	2.44194	2.53345	2.61267	2.53042	2.53964	2.44896	2.56762	0
Rab11b	2.52621	2.56236	2.64942	2.50201	2.64545	2.48181	2.47265	2.50257	2.50287	2.39076	2.50399	2.53547	2.48106	2.43541	2.53382	2.54665	2.57195	2.58933	0
Kank3	2.61213	2.72848	2.67269	2.68787	2.60053	2.69302	2.72412	2.6732	2.62838	2.69563	2.66432	2.67527	2.72626	2.67499	2.69845	2.63895	2.6505	2.65832	0
Ndufa7	3.0656	3.02764	3.08363	3.05134	3.05144	3.0374	3.00649	3.03454	3.02218	3.0227	3.06579	3.02153	3.04437	3.02962	3.03053	3.06878	3.07187	3.06292	0
Cd320	2.69914	2.66934	2.65873	2.68085	2.75255	2.67515	2.6713	2.65187	2.59837	2.59268	2.70862	2.67081	2.64998	2.60478	2.67577	2.68067	2.68074	2.65415	0
BC033916	1.85001	1.86609	1.83643	1.79553	1.7984	1.86721	1.72008	1.93494	1.60442	1.66979	1.76487	1.79333	1.78945	1.78777	1.85537	1.7364	1.71312	1.79554	0
Daxx	2.85109	2.88401	2.86599	2.84991	2.84033	2.88463	2.88547	2.85241	2.8738	2.88539	2.83623	2.82332	2.84566	2.88942	2.77256	2.83327	2.82863	2.84181	0
Tapbp	3.1061	3.19934	3.15578	3.23729	3.13224	3.26621	3.27291	3.19084	3.29857	3.29945	3.12362	3.09407	3.2868	3.27411	3.143	3.21563	3.07498	3.19689	0
Zbtb22	2.69721	2.7707	2.80558	2.75069	2.7884	2.82034	2.73808	2.75476	2.76942	2.70267	2.69054	2.71521	2.68039	2.7063	2.70148	2.75922	2.75258	2.76132	0
Rgl2	2.86662	2.84016	2.85852	2.86725	2.84748	2.82266	2.88949	2.8668	2.88998	2.87571	2.87009	2.81993	2.91046	2.90197	2.88569	2.84605	2.8344	2.84815	0
Wdr46	3.15166	3.17213	3.17022	3.15143	3.18723	3.16841	3.1375	3.15148	3.15157	3.10009	3.18669	3.18446	3.15096	3.14429	3.12762	3.16527	3.17156	3.14023	0
Vps52	3.12265	3.1237	3.10907	3.14262	3.11418	3.09481	3.10674	3.11426	3.10985	3.10977	3.09029	3.09975	3.10392	3.10532	3.09425	3.08877	3.08239	3.11911	0
AA388235	2.05565	2.01581	1.99195	1.95703	2.08348	1.94837	2.04263	2.03997	2.12195	2.07288	2.08042	2.02493	2.05629	1.92977	2.07744	2.00305	2.07946	2.00485	0
