ID	ZT0_REP1	ZT0_REP2	ZT0_REP3	ZT4_REP1	ZT4_REP2	ZT4_REP3	ZT8_REP1	ZT8_REP2	ZT8_REP3	ZT12_REP1	ZT12_REP2	ZT12_REP3	ZT16_REP1	ZT16_REP2	ZT16_REP3	ZT20_REP1	ZT20_REP2	ZT20_REP3	GroundTruth
Lypla1	3.46482	3.45799	3.46554	3.44938	3.47389	3.46414	3.44652	3.43918	3.45623	3.44181	3.46721	3.47376	3.44985	3.46187	3.4524	3.46825	3.49289	3.46388	0
Tcea1	3.18104	3.20305	3.18301	3.19354	3.18514	3.20119	3.1896	3.18158	3.15484	3.16727	3.21382	3.21313	3.1767	3.18434	3.20194	3.19473	3.20278	3.18089	0
Atp6v1h	3.05355	3.0417	3.01111	3.03836	3.04874	3.06756	3.03825	3.03634	3.03423	3.0277	3.02592	3.02838	2.99977	3.04344	3.02827	3.02254	3.0397	3.02849	0
Oprk1	2.07412	2.04445	2.03428	2.08096	2.07411	2.05735	2.08665	2.07232	2.05896	2.08945	2.125	2.15777	2.07539	2.06593	2.14975	1.9486	2.10629	2.14093	0
Rb1cc1	3.13784	3.15361	3.14641	3.14683	3.14453	3.12865	3.15805	3.18998	3.10886	3.09535	3.17084	3.17175	3.08837	3.1075	3.12135	3.11593	3.14714	3.11233	0
Fam150a	1.56752	1.61981	1.58018	1.70687	1.56394	1.64236	1.62751	1.58834	1.41544	1.38108	1.6337	1.56291	1.54878	1.49697	1.58265	1.45352	1.52647	1.59541	0
St18	1.8802	1.80499	1.88746	1.85436	1.91002	1.90929	1.92804	1.84452	1.92599	2.0847	1.83465	1.76194	2.10338	1.96384	2.04066	1.72671	1.84776	1.88578	0
Pcmtd1	3.32577	3.33198	3.34142	3.3028	3.32568	3.29591	3.31117	3.33573	3.28323	3.25265	3.33607	3.32664	3.26331	3.27504	3.31492	3.3172	3.315	3.30072	0
Rrs1	2.68907	2.74814	2.75474	2.71052	2.66178	2.66794	2.64519	2.70176	2.71586	2.74835	2.67918	2.73318	2.69886	2.69788	2.6962	2.71152	2.71835	2.64458	0
Adhfe1	3.471	3.45587	3.45759	3.45769	3.4802	3.45178	3.4526	3.46115	3.48003	3.45321	3.43437	3.46107	3.45072	3.45496	3.43256	3.45696	3.47066	3.45377	0
Sgk3	2.93515	3.00889	3.01946	2.98338	2.96281	2.97682	2.99438	3.02686	2.95326	2.96643	2.96293	2.95271	2.92829	2.97593	2.95597	2.98632	2.90679	2.91376	0
3110035E14Rik	2.08201	2.20995	2.23212	2.28211	2.18304	2.12507	2.09823	2.13156	2.35	2.11456	2.1717	2.10954	2.27704	2.15785	2.11049	2.24147	2.22751	2.14868	0
1700034P13Rik	2.51014	2.45241	2.51232	2.4307	2.49239	2.4469	2.44392	2.47578	2.47139	2.38632	2.46243	2.34268	2.42731	2.42138	2.41228	2.44742	2.44569	2.46373	0
6030422M02Rik	1.39787	1.42238	1.61579	1.29775	1.29362	1.41834	1.48325	1.50919	1.27251	1.34024	1.39981	1.33976	1.44061	1.33477	1.5667	1.35537	1.41084	1.42913	0
Cspp1	2.83488	2.84571	2.80099	2.82385	2.80205	2.82132	2.7954	2.79951	2.78416	2.79242	2.81569	2.84148	2.77587	2.8148	2.83649	2.74383	2.8183	2.79519	0
Prex2	2.9002	2.86886	2.96228	2.85201	2.95859	2.89882	2.95633	2.92345	2.93731	2.9459	3.12075	3.1562	2.8697	2.94913	2.95521	2.84972	2.94524	2.86017	0
A830018L16Rik	2.09076	1.89017	1.93061	2.01818	2.00037	2.00914	1.8613	2.02431	2.00766	2.00785	2.07213	2.0616	2.08855	1.94069	2.03709	2.01809	2.0299	2.04554	0
4932411L15	1.8749	1.95438	1.9654	1.81881	1.94107	2.01916	1.9827	1.85583	1.95838	1.85375	1.8961	2.05133	2.1247	1.83512	2.02382	2.07634	1.95561	2.02186	0
Sulf1	2.48839	2.47993	2.53285	2.42047	2.57963	2.54495	2.56871	2.46394	2.54458	2.6701	2.36021	2.4517	2.65777	2.634	2.40628	2.51477	2.54643	2.47275	0
Xkr9	3.04665	3.03055	2.9937	2.98479	3.0583	2.98994	2.99487	2.99512	2.97937	2.89941	3.00152	3.04536	2.82427	2.8866	2.99645	2.95835	3.08153	3.01181	0
Msc	2.41843	2.35671	2.43304	2.3987	2.29518	2.35353	2.29564	2.34552	2.37486	2.31932	2.4262	2.3621	2.39761	2.33737	2.39737	2.40268	2.44641	2.35829	0
Kcnb2	2.11681	2.08363	2.15772	2.17507	2.08479	2.07976	2.05491	2.14062	2.099	2.11033	2.13165	2.13763	2.10903	1.98642	2.2197	2.20539	2.18529	2.15864	0
Terf1	2.89942	2.91977	2.93353	2.85898	2.96566	2.94255	2.86881	2.87681	2.87426	2.85801	2.87427	2.87723	2.77228	2.85163	2.83618	2.9038	2.87123	2.85929	0
Rdh10	3.08637	3.0591	3.08986	3.09969	3.04626	3.07852	3.0551	3.06544	3.06717	3.02195	3.08224	3.08345	3.03441	3.05385	3.09461	3.0678	3.10088	3.05321	0
D030040B21Rik	1.07928	0.77413	1.00618	1.13941	0.96341	0.96572	0.91255	0.94599	0.89792	0.88346	0.99803	0.77488	0.96112	0.97003	0.88638	0.91433	1.09655	1.06718	0
Tmem70	3.01176	3.06445	3.02931	3.04275	3.02592	3.01927	3.01229	3.00189	3.00492	3.00144	3.02104	3.0464	3.04684	3.00774	3.04449	2.97909	3.02627	3.02165	0
Ly96	3.15768	3.23659	3.23794	3.19299	3.21678	3.21635	3.25175	3.12326	3.20458	3.14615	3.19577	3.12643	3.18939	3.22868	3.15611	3.23026	3.24477	3.20658	0
Gdap1	1.58254	1.50129	1.31774	1.59091	1.64175	1.58003	1.71034	1.75863	1.59302	1.52046	1.74332	1.68024	1.45666	1.64743	1.75855	1.60091	1.50816	1.51922	0
Pi15	1.96601	1.97537	1.66998	2.00693	1.84928	2.09358	1.99616	2.00683	1.8283	1.88785	1.97467	1.8881	1.90343	1.91301	2.03841	1.95756	1.96144	2.04759	0
Crispld1	1.95686	1.91269	2.04378	1.97736	1.91144	1.96515	2.04516	1.9782	1.87098	1.96585	1.98732	2.00217	1.95576	1.94984	2.11993	1.87469	2.05013	1.99472	0
Tfap2d	1.93203	1.76008	1.89301	1.97939	1.92859	1.84587	1.81865	1.82918	1.71042	1.95129	1.90407	1.97987	1.94996	1.75238	1.89397	1.87167	1.9256	1.9204	0
Tfap2b	2.21109	2.12631	2.2112	2.00456	2.1652	2.16339	2.08973	2.09319	2.03497	2.11318	2.08518	2.15347	2.03407	2.17517	2.24113	2.23013	2.19154	2.18497	0
4930486I03Rik	1.7746	1.51513	1.70992	1.57781	1.76794	1.58285	1.6063	1.74751	1.56339	1.49519	1.72546	1.71199	1.65864	1.67382	1.7439	1.70589	1.7053	1.73269	0
Mir206	1.11963	1.07878	1.17401	1.11142	1.24472	1.08018	0.95335	0.96262	1.20333	0.80999	1.04895	0.98625	0.88623	0.78707	0.87882	0.93855	0.85008	0.89262	0
Mir133b	2.13011	2.04279	1.84038	2.04717	1.97256	2.1074	2.08616	2.24836	1.88505	1.88042	2.13837	2.19126	1.94586	2.08742	2.08915	2.14063	2.05556	2.19029	0
Il17a	1.9058	1.93996	1.99924	2.00756	2.04046	1.87879	1.97824	1.96542	1.8724	1.97318	2.02025	2.03552	1.92469	1.78137	1.98979	2.04975	1.96155	2.07437	0
Paqr8	2.3306	2.29394	2.27451	2.2432	2.23135	2.32237	2.3305	2.33211	2.20314	2.20314	2.41347	2.30123	2.31417	2.37572	2.37457	2.29772	2.38057	2.36781	0
Efhc1	2.14911	2.1311	2.2258	2.34061	2.30421	2.24891	2.25168	2.24599	2.37157	2.20866	2.20405	2.2582	2.23692	2.34011	2.27186	2.32116	2.22383	2.21319	0
Tmem14a	2.59544	2.48315	2.60923	2.49659	2.53389	2.51997	2.54927	2.57043	2.59257	2.57083	2.64203	2.5717	2.61936	2.60936	2.5431	2.47675	2.61292	2.54147	0
Gsta3	3.48472	3.48707	3.48628	3.4565	3.4868	3.49038	3.49145	3.48361	3.49568	3.49621	3.51545	3.51485	3.48827	3.50102	3.50791	3.50885	3.52606	3.49024	0
Khdc1a	1.98972	1.66936	1.70372	1.79343	1.67198	1.53965	1.78472	1.95667	1.69911	1.87514	1.91376	1.69387	1.82658	1.748	2.0629	1.94023	1.91169	1.84153	0
Khdc1c	1.7276	1.54281	1.25286	1.35946	1.19185	1.34118	1.2246	1.88168	1.5689	1.8695	1.88657	1.6566	1.61629	1.44123	1.70907	1.59237	1.40318	1.40032	0
Khdc1b	1.35251	1.51357	1.36472	1.41292	1.24406	1.31686	1.59203	1.26306	1.31733	1.30206	1.4839	1.30867	1.31505	1.53678	1.53741	1.40338	1.49808	1.48521	0
Kcnq5	2.23292	2.09926	2.1713	2.1534	2.14669	2.14793	2.04319	2.20555	2.18453	2.09734	2.21202	2.1633	2.12668	2.0013	2.01414	2.21881	2.14661	2.17746	0
Mir30a	1.74718	2.0595	2.09622	2.07112	1.79485	1.83956	2.0295	2.04929	1.9309	1.89058	2.10486	1.94031	1.65536	1.95129	1.99003	1.87782	2.11149	1.80495	0
Mir30c-2	2.44228	2.57123	2.34278	2.54899	2.39887	2.45242	2.4141	2.50122	2.49874	2.32074	2.52825	2.50799	2.31655	2.45255	2.4918	2.44227	2.431	2.42812	0
B3gat2	2.39064	2.36419	2.31733	2.36169	2.35163	2.34516	2.3544	2.36015	2.32106	2.31364	2.31833	2.35949	2.37612	2.30392	2.4137	2.37839	2.37782	2.42897	0
Col9a1	2.33268	2.24765	2.36339	2.33748	2.36756	2.14264	2.33967	2.26136	2.28123	2.25967	2.314	2.3394	2.3254	2.17747	2.38514	2.34545	2.3669	2.43148	0
Lmbrd1	3.30393	3.30678	3.31949	3.31328	3.32624	3.308	3.30643	3.32544	3.31597	3.30878	3.33254	3.32643	3.30284	3.31829	3.30246	3.32031	3.30165	3.29109	0
Gm5524	3.11627	3.1705	3.21585	3.14668	3.2097	3.12952	3.12863	3.13834	3.12393	3.00528	3.12635	3.14472	2.94197	3.00894	3.10518	3.1424	3.16041	3.13069	0
Lgsn	2.21238	2.19178	2.25065	2.27979	2.30708	2.21228	2.14623	2.21778	2.25561	2.15253	2.2867	2.30696	2.32907	2.2323	2.24819	2.24286	2.25123	2.28132	0
4930521A18Rik	1.8266	1.61713	1.73489	1.61525	1.72401	1.57273	1.71691	1.72402	1.50044	1.83431	1.86822	1.83834	1.64926	1.54039	1.60651	1.70886	1.69493	1.67651	0
Gm4850	1.4014	1.51505	1.64236	1.51998	1.65161	1.57559	1.44183	1.69635	1.6309	1.34498	1.40146	1.47283	1.56697	1.54619	1.73891	1.3655	1.64812	1.71835	0
Khdrbs2	2.0531	1.93219	2.05063	2.09197	2.07357	1.98877	2.0146	2.08146	2.03177	1.99396	2.12315	2.13757	2.08012	1.95942	2.11995	2.01169	2.05221	2.03351	0
1700001G17Rik	2.76784	2.73133	2.74921	2.72762	2.71543	2.75591	2.69948	2.77705	2.69049	2.67216	2.77081	2.73974	2.75325	2.70591	2.78114	2.83456	2.82921	2.78496	0
Rab23	2.83056	2.71774	2.6418	2.67693	2.79962	2.73474	2.65073	2.62426	2.64382	2.58969	2.70926	2.69398	2.59867	2.67821	2.67641	2.62356	2.71964	2.70832	0
Dst	2.95012	2.998	2.93297	2.99987	2.91151	3.03192	3.03437	2.9951	3.08245	3.09642	3.0071	2.97067	3.08162	3.07267	2.99274	3.02991	2.96413	2.94109	0
Imp4	3.1902	3.17167	3.1762	3.1872	3.16792	3.15026	3.13769	3.18665	3.13582	3.12532	3.16931	3.16399	3.15338	3.14386	3.1537	3.17843	3.14673	3.16263	0
Ptpn18	2.53171	2.58207	2.4812	2.48398	2.45808	2.46213	2.54655	2.48428	2.59268	2.51567	2.46538	2.39534	2.51652	2.49285	2.50858	2.54615	2.5351	2.6048	0
Prss39	2.00695	2.02724	1.98992	2.09085	2.05321	2.09449	2.07753	2.00629	2.03261	2.00031	2.1739	2.04859	2.14409	1.98518	2.04262	2.11499	2.01537	2.19099	0
Cfc1	2.51429	2.46278	2.51478	2.42442	2.54175	2.40725	2.44829	2.5093	2.42587	2.43942	2.45207	2.49859	2.48992	2.38948	2.45942	2.4566	2.53781	2.48251	0
Fam123c	2.15613	2.11321	2.08371	2.04213	2.05812	2.06575	2.12688	2.06373	2.12959	1.92657	2.07004	2.11867	2.1699	2.12802	2.1084	2.16954	2.16789	2.15706	0
Arhgef4	2.40098	2.47617	2.48139	2.39158	2.4103	2.41562	2.44607	2.46426	2.3186	2.4181	2.44293	2.43065	2.43452	2.44209	2.39365	2.47397	2.42368	2.51731	0
Plekhb2	2.92596	2.83345	2.76361	3.0098	2.93455	2.87319	2.83269	2.93546	2.86149	2.90733	2.66674	2.58985	2.91967	2.94842	2.78258	2.93221	2.63588	2.96305	0
Hs6st1	3.29967	3.31051	3.31533	3.30434	3.28837	3.25515	3.32938	3.31669	3.33761	3.34732	3.34881	3.33609	3.34196	3.3188	3.29698	3.27993	3.28121	3.26612	0
Arid5a	2.34695	2.46406	2.39754	2.49423	2.46527	2.4406	2.52761	2.45851	2.5127	2.54966	2.43758	2.45277	2.46922	2.50516	2.42854	2.46666	2.38461	2.45286	0
Cnnm4	2.59906	2.65306	2.59403	2.64224	2.60062	2.59624	2.61729	2.54308	2.58417	2.5571	2.57326	2.54673	2.67284	2.63886	2.59879	2.69395	2.61981	2.56344	0
Cnnm3	2.92296	2.96217	2.98025	2.95364	2.92478	2.88693	2.84369	2.85461	2.82085	2.7255	2.8441	2.8232	2.84822	2.83455	2.91039	2.91863	2.91063	2.93286	0
D430040D24Rik	2.46914	2.37167	2.50222	2.44153	2.4822	2.39813	2.44054	2.5101	2.46184	2.40824	2.48989	2.50184	2.48326	2.30974	2.49578	2.49963	2.47811	2.50901	0
Cox5b	2.33844	2.48211	2.43216	2.43557	2.40958	2.49082	2.40727	2.41759	2.4332	2.29563	2.49556	2.45413	2.41414	2.35534	2.40615	2.37754	2.41597	2.49624	0
4933424G06Rik	2.30622	2.20828	2.29197	2.17711	2.21989	2.16014	2.24104	2.40497	2.19832	2.18613	2.2851	2.2894	2.28191	2.15885	2.35035	2.31237	2.28974	2.25729	0
Zap70	2.64772	2.81629	2.75114	2.74395	2.70122	2.68884	2.69793	2.76444	2.68873	2.76123	2.69873	2.70422	2.71975	2.74083	2.73117	2.77708	2.74794	2.71312	0
Vwa3b	2.22295	2.23187	2.21638	2.20748	2.15928	2.20846	2.18596	2.29753	2.18753	2.17026	2.23992	2.21511	2.23823	2.22976	2.24832	2.2749	2.22599	2.3087	0
Cnga3	2.16198	2.21608	2.03364	2.07227	2.15391	2.16509	2.17391	2.1377	2.12788	2.07215	2.19326	2.18395	2.19151	2.13263	2.23993	2.25616	2.21602	2.26046	0
Inpp4a	3.05649	3.06079	3.11026	3.07448	3.10715	3.03469	3.04198	3.12263	3.02403	3.05743	3.05133	3.0475	3.05296	3.03388	3.09177	3.05864	3.04445	3.0578	0
Unc50	3.07882	3.07592	3.11398	3.10665	3.10843	3.09932	3.10647	3.08605	3.07371	3.10795	3.06388	3.07068	3.06737	3.09047	3.06073	3.06438	3.04207	3.08274	0
Lipt1	2.80076	2.75532	2.76838	2.73954	2.81246	2.75752	2.67421	2.74988	2.63631	2.58509	2.73499	2.75501	2.74617	2.72711	2.79943	2.76028	2.79573	2.75859	0
Mrpl30	2.61737	2.6327	2.65781	2.60153	2.63049	2.6068	2.60704	2.65062	2.60757	2.59049	2.60601	2.67691	2.60678	2.62166	2.64058	2.55974	2.6418	2.54462	0
Eif5b	2.90908	2.93769	2.89358	2.95362	2.90835	2.9676	2.92639	2.88962	2.92122	2.89315	2.94672	2.92041	2.91551	2.94872	2.913	2.87457	2.90925	2.88278	0
Gm5099	2.04888	2.18419	2.21708	2.18961	2.24475	2.19502	2.13324	2.22713	2.17372	2.21285	2.05975	2.08827	2.14956	2.09065	2.23254	2.13006	2.20515	2.06291	0
Nms	2.34889	2.34241	2.31837	2.24088	2.30596	2.27136	2.30118	2.25861	2.35674	2.26934	2.3892	2.28608	2.3652	2.22376	2.28386	2.29723	2.29652	2.33434	0
Pdcl3	2.99685	3.05748	3.0203	3.00918	2.9701	3.04018	2.96107	2.94615	2.99694	3.01155	2.9744	2.93004	2.99541	3.06347	2.9713	3.01907	3.00585	2.98791	0
Npas2	2.9843	3.04171	2.90797	2.9104	2.66288	2.85682	2.38261	2.3357	2.35479	2.40527	2.21474	2.42155	2.62375	2.80478	2.56143	3.01414	3.00138	3.05805	1
Rpl31	2.76827	2.75276	2.75241	2.79449	2.74509	2.70259	2.73196	2.73302	2.74308	2.76498	2.78746	2.75783	2.80243	2.6912	2.79437	2.77829	2.78011	2.79146	0
D1Bwg0212e	2.89206	2.90108	2.86381	2.9301	2.89649	2.90211	2.85429	2.88892	2.85121	2.84437	2.88026	2.86065	2.85153	2.86704	2.85222	2.87444	2.89526	2.86076	0
Map4k4	2.68918	2.7783	2.74482	2.83033	2.73316	2.7688	2.77095	2.71553	2.8425	2.84349	2.66704	2.65067	2.76678	2.79883	2.61933	2.83564	2.67336	2.6788	0
Il1r2	2.15744	1.97786	2.13461	2.05014	1.98831	2.05588	2.14536	2.06528	2.14774	2.14051	1.98618	2.0713	2.06038	2.09648	2.06653	2.10208	2.06007	2.04246	0
Il1r1	3.03482	2.92494	2.94839	2.99062	3.09316	2.96673	2.90149	3.0493	2.93015	3.02104	2.98342	2.98902	2.94105	2.99728	2.97552	2.96323	3.0161	3.0755	0
Il1rl2	2.01904	2.10435	1.99366	2.01488	1.74707	1.94316	1.94685	2.03113	2.12429	2.18346	1.88535	1.76622	1.86286	2.07343	1.88434	1.98968	1.87618	2.00627	0
Il1rl1	1.98194	1.94224	1.92937	2.00822	2.00482	1.94399	2.07498	1.98662	1.93782	1.90546	1.97645	2.02027	1.9562	1.96367	2.08845	1.94233	1.9431	1.97989	0
Il18r1	2.26313	2.46916	2.31508	2.36361	2.34134	2.34438	2.40413	2.31369	2.36587	2.53266	2.13926	2.19734	2.37623	2.46178	2.20102	2.38571	2.34539	2.28061	0
Il18rap	2.0594	2.29217	2.09938	2.10857	1.95937	2.36209	2.22955	2.17352	2.25962	2.23883	2.05836	2.00873	2.20941	2.40117	2.04042	2.14982	1.98235	2.17543	0
Slc9a4	1.86917	1.92459	2.04624	1.82982	1.94626	1.95973	2.07137	1.93715	1.89162	1.88399	1.90262	1.9794	1.91893	1.80098	1.98509	1.92488	2.01544	1.9557	0
Slc9a2	2.07625	1.93626	2.17101	2.04717	2.11783	1.97632	2.20196	2.06321	2.09192	2.00843	1.83296	2.05561	2.16183	2.0171	2.04954	2.13629	2.09138	2.13907	0
Tmem182	2.3954	2.21358	2.21349	2.20619	2.24324	2.21463	2.30907	2.19272	2.15529	2.20477	2.24717	2.3266	2.22404	2.19819	2.24671	2.28635	2.23494	2.20503	0
Pou3f3	2.45513	2.385	2.40568	2.36888	2.27864	2.30088	2.39221	2.40303	2.2585	2.38138	2.43086	2.41544	2.39483	2.37148	2.46304	2.46494	2.38807	2.43118	0
2900092D14Rik	2.01341	1.87004	1.92969	1.85598	1.95314	1.837	1.88693	1.89573	1.92965	1.94832	1.87254	1.89201	1.8894	1.85642	2.01836	2.0606	1.846	2.03089	0
Mrps9	2.83435	2.85934	2.85726	2.83364	2.85025	2.85731	2.7984	2.85806	2.80566	2.80326	2.88749	2.8741	2.71141	2.79248	2.82716	2.74785	2.79226	2.82184	0
Gpr45	2.0576	2.13209	2.04846	2.21038	2.05614	1.90795	2.05919	2.04669	2.01538	2.09017	2.08855	2.18235	2.09951	2.00026	2.12086	2.06131	2.09163	2.18557	0
AI597479	2.76751	2.81854	2.7691	2.73179	2.81588	2.78645	2.76632	2.80673	2.78702	2.76029	2.76906	2.79779	2.77459	2.76829	2.7455	2.76251	2.74548	2.78372	0
Rpl29	3.5876	3.58929	3.6063	3.59965	3.58368	3.58695	3.60831	3.59387	3.60056	3.59214	3.58743	3.58733	3.60587	3.59766	3.59067	3.59422	3.5832	3.58545	0
Nck2	2.30467	2.35543	2.28804	2.39905	2.30629	2.38197	2.38899	2.39022	2.43958	2.50217	2.2686	2.22883	2.40888	2.48524	2.27587	2.44456	2.26553	2.24683	0
1500015O10Rik	2.02388	2.02839	2.11081	2.02721	2.20534	2.00536	2.0291	2.14467	2.07452	2.022	2.03472	2.04656	2.03293	2.01712	2.10872	2.2206	2.08026	2.0919	0
Tpp2	3.15029	3.18793	3.18	3.21256	3.14471	3.18048	3.17114	3.20376	3.15871	3.18057	3.1745	3.17761	3.18675	3.21487	3.16046	3.16164	3.16215	3.15131	0
Bivm	2.8879	2.8784	2.87975	2.93897	2.92039	2.88556	2.84766	2.91158	2.79847	2.7915	2.89358	2.89192	2.82717	2.88343	2.84651	2.90967	2.88471	2.86867	0
Ercc5	2.81155	2.82453	2.81845	2.83462	2.78652	2.81831	2.80684	2.86254	2.84697	2.86859	2.78346	2.81963	2.80354	2.79175	2.81351	2.78547	2.79624	2.76344	0
Gulp1	2.14147	2.08176	2.12731	2.12409	2.07898	2.18335	2.08152	2.1071	2.11164	2.14689	2.04381	2.14418	2.16413	2.20442	2.12961	2.13538	2.11827	2.03014	0
Col3a1	2.83971	2.87792	2.80816	2.88999	2.74384	2.88674	2.91639	2.9153	2.94563	2.99167	2.65826	2.79255	2.89995	2.93995	2.76549	2.88058	2.75511	2.75317	0
Wdr75	2.99851	3.05688	2.97205	3.03991	2.92873	2.98109	2.97445	3.00848	3.00437	3.01122	3.04748	3.06639	3.00326	3.02293	3.00027	2.96601	2.98883	2.9583	0
Dnahc7b	2.18832	2.23091	2.19436	2.20871	2.31098	2.17785	2.08473	2.30936	2.22939	2.2479	2.2138	2.21006	2.18853	2.19312	2.21526	2.1108	2.23825	2.20683	0
Tmeff2	2.11365	2.34074	2.10346	2.12889	2.02103	2.08242	2.25513	2.1872	2.13081	2.17137	2.12613	2.11615	2.14863	2.13221	2.20176	2.34376	2.03062	2.30517	0
Sdpr	2.86575	2.83062	2.8408	2.84963	2.79895	2.79429	2.75317	2.82578	2.77109	2.81568	2.84136	2.80876	2.82386	2.85249	2.85621	2.83946	2.85753	2.78824	0
Stat4	2.17246	2.62271	2.31587	2.52433	2.21698	2.53432	2.64266	2.46411	2.50319	2.77169	2.10898	2.07299	2.52263	2.75695	2.13145	2.48673	2.2547	2.32841	0
Stat1	3.22638	3.52561	3.269	3.42628	3.2423	3.53506	3.49637	3.43406	3.52383	3.52078	3.29767	3.19237	3.45753	3.50812	3.34555	3.45523	3.18123	3.44408	0
Tmem194b	2.23177	2.38055	2.39893	2.43873	2.33542	2.40052	2.40244	2.39264	2.3936	2.5135	2.28948	2.35372	2.41331	2.44101	2.20162	2.40525	2.2997	2.36764	0
Hibch	3.16692	3.1081	3.15897	3.12937	3.18229	3.16014	3.12229	3.13998	3.12213	3.10149	3.17917	3.18443	3.1097	3.12719	3.12925	3.11191	3.16464	3.14849	0
Mstn	1.59884	1.52689	1.58016	1.6242	1.47636	1.50756	1.69982	1.66726	1.58065	1.51178	1.79255	1.63026	1.5021	1.66809	1.66209	1.62847	1.4508	1.40352	0
Ormdl1	3.0855	3.06732	3.1139	3.08097	3.08748	3.10565	3.05553	3.07918	3.02936	3.01791	3.05892	3.06632	3.00543	3.01105	3.0153	3.04019	3.06175	3.06421	0
Osgepl1	2.98771	2.97772	3.01184	2.99228	3.02128	2.98148	2.96316	2.93649	2.94742	2.9046	3.01108	2.99842	2.93742	2.96202	2.97985	2.9484	3.04103	2.96416	0
Ccdc150	1.71688	1.82506	1.69734	1.77941	1.80537	1.83948	1.87972	1.80887	1.72772	1.78874	1.82549	1.88587	1.76622	1.74181	1.98083	1.83473	1.84547	1.80407	0
Coq10b	2.91958	2.97932	2.79462	2.89144	2.93316	2.87201	3.22345	3.26787	3.17412	3.15466	3.24661	3.26454	3.01795	3.0447	2.98854	2.90132	2.98791	2.82622	0
Hspe1	2.96383	2.94138	2.95668	2.95103	2.93631	2.95405	2.88223	2.97983	2.88804	2.90652	2.96068	2.97328	3.01687	2.96763	2.9783	3.05748	3.05707	2.96667	0
Mob4	3.05995	3.09392	3.0449	3.08169	3.05165	3.06271	3.03845	3.06993	3.01224	3.06051	3.07454	3.08959	3.04156	3.05433	3.04804	3.02759	3.08295	3.01693	0
Rftn2	1.73295	1.58663	1.62479	1.69439	1.42854	1.51028	1.74471	1.60405	1.46109	1.64814	1.672	1.73236	1.64014	1.56876	1.57347	1.69968	1.84695	1.75855	0
Mars2	2.6057	2.66456	2.60186	2.62362	2.57955	2.59544	2.62353	2.60272	2.67071	2.59568	2.64714	2.67552	2.61962	2.57531	2.59475	2.55215	2.54272	2.52926	0
Plcl1	2.20698	2.20584	2.1333	2.16369	2.17152	2.17593	2.125	2.14002	2.25415	2.18828	2.20089	2.19786	2.30614	2.30755	2.24223	2.28184	2.17793	2.20473	0
9130227L01Rik	1.7647	1.70939	1.85095	1.75019	1.87396	1.59584	1.68154	1.78641	1.73936	1.66435	1.60542	1.78219	1.66558	1.75087	1.75523	1.77406	1.95207	1.64623	0
9130024F11Rik	2.04118	2.05267	2.11535	2.0724	2.17557	1.99262	2.08746	1.95395	2.0549	2.02553	2.10222	2.08838	2.05801	2.07989	2.21679	1.97819	2.04417	2.1451	0
1700066M21Rik	3.14897	3.14733	3.15533	3.13725	3.12363	3.08653	3.04707	3.04393	3.03226	2.9423	3.08829	3.10129	3.04349	3.01356	3.16598	3.14569	3.15424	3.13319	0
9430016H08Rik	2.72732	2.7751	2.76591	2.75069	2.796	2.71961	2.69344	2.72884	2.6933	2.69123	2.7696	2.71374	2.64694	2.71152	2.76966	2.676	2.78992	2.75287	0
Spats2l	2.51717	2.51532	2.52371	2.56114	2.54732	2.57005	2.61511	2.60804	2.64317	2.68956	2.57744	2.55507	2.66348	2.64022	2.51031	2.58261	2.52265	2.56326	0
Sgol2	2.27251	2.28755	2.28426	2.38573	2.30221	2.25189	2.36075	2.25702	2.43441	2.41576	2.27046	2.36767	2.37066	2.41823	2.32552	2.3765	2.36125	2.29794	0
Aox1	3.30049	3.24408	3.32104	3.20831	3.30784	3.25419	3.24953	3.18618	3.28735	3.25977	3.23364	3.23584	3.246	3.24042	3.27413	3.25224	3.31473	3.30064	0
Aox3	3.61767	3.59464	3.61238	3.56422	3.63426	3.53234	3.54402	3.53329	3.52495	3.52621	3.59029	3.60093	3.52776	3.51584	3.60562	3.5456	3.6099	3.59085	0
Aox4	1.9395	1.80514	1.79248	1.7078	1.77779	1.85243	1.87182	1.81482	1.84429	1.90714	1.84758	1.77032	1.86482	1.77727	1.85855	1.86056	1.84181	1.8167	0
Aox3l1	2.3241	2.23925	2.27796	2.26528	2.28657	2.22487	2.25585	2.35081	2.22605	2.3035	2.3734	2.29487	2.29364	2.21519	2.24243	2.34571	2.34496	2.32216	0
Bzw1	3.34859	3.37846	3.34174	3.37672	3.36795	3.38459	3.36319	3.35509	3.36859	3.37285	3.3724	3.37604	3.37132	3.37862	3.35637	3.36485	3.36499	3.35601	0
Nif3l1	2.89453	2.91016	2.88889	2.93444	2.91688	2.92649	2.90026	2.89272	2.92434	2.91332	2.88848	2.90752	2.92928	2.91876	2.91908	2.89902	2.90231	2.92476	0
Gm15834	2.31678	2.33215	2.38944	2.29696	2.39248	2.35726	2.38027	2.32326	2.38735	2.35644	2.3841	2.35222	2.44131	2.36994	2.3561	2.46436	2.36605	2.37344	0
Ndufb3	2.79512	2.77558	2.74008	2.70401	2.77619	2.77994	2.7526	2.74155	2.71778	2.68288	2.76835	2.77965	2.72691	2.76135	2.73567	2.69072	2.76165	2.73612	0
