id	AH063	AH064	AH065	AH066
LmxM.03.0260	18	31	48	81
LmxM.03.0270	7	11	16	32
LmxM.03.0280	5	0	1	2
LmxM.03.0290	0	1	0	0
LmxM.03.0310	2	25	22	37
LmxM.03.0320	121	209	201	257
LmxM.03.0330	1	5	1	12
LmxM.03.0340	66	179	103	175
LmxM.03.0350	24	64	69	103
LmxM.03.0360	289	654	597	1128
LmxM.03.0370	36	196	189	313
LmxM.03.0380	10	34	22	59
LmxM.03.0390	98	134	218	387
LmxM.03.0400	115	183	124	322
LmxM.03.0410	42	33	25	79
LmxM.03.0420	11	59	50	105
LmxM.03.0430	6	16	18	82
LmxM.03.0440	1639	2458	2695	3596
LmxM.03.0450	104	342	285	372
LmxM.03.0460	251	607	515	1022
LmxM.03.0470	29	178	175	243
LmxM.03.0480	37	293	297	453
LmxM.03.0490	16	68	60	149
LmxM.03.0500	21	24	21	36
LmxM.03.0510	513	770	850	1273
LmxM.03.0520	100	120	180	215
LmxM.03.0530	27	598	865	856
LmxM.03.0540	15	33	47	54
LmxM.03.0550	2	12	10	45
LmxM.03.0560	8	38	17	43
LmxM.03.0570	52	105	156	353
LmxM.03.0580	2	0	9	11
LmxM.03.0590	4	12	8	26
LmxM.03.0600	19	13	31	22
LmxM.03.0610	21	44	50	86
LmxM.03.0620	38	85	82	108
LmxM.03.0630	120	89	108	154
LmxM.03.0640	113	145	277	194
LmxM.03.0650	7	14	18	14
LmxM.03.0660	13	10	35	35
LmxM.03.0670	1	3	4	8
LmxM.03.0680	32	82	72	146
LmxM.03.0690	264	281	309	437
LmxM.03.0700	5	22	16	33
LmxM.03.0710	7	6	17	35
LmxM.03.0720	57	157	140	180
LmxM.03.0730	1	17	15	34
LmxM.03.0740	36	44	81	71
LmxM.03.0750	6	1	1	0
LmxM.03.0760	9	18	24	38
LmxM.03.0770	189	463	637	623
LmxM.03.0780	19	55	47	119
LmxM.03.0790	37	54	58	71
LmxM.03.0800	1	7	9	27
LmxM.03.0810	17	34	74	168
LmxM.03.0820	5	20	14	37
LmxM.03.0821	11	109	133	217
LmxM.03.0830	31	81	46	77
LmxM.03.0840	11	6	17	20
LmxM.03.0850	4	12	10	30
LmxM.03.0860	8	49	56	88
LmxM.03.0870	2	16	20	56
LmxM.03.0880	139	272	278	386
LmxM.03.0890	100	374	513	766
LmxM.03.0900	42	233	490	325
LmxM.03.0910	190	473	576	574
LmxM.03.0920	89	253	297	474
LmxM.03.0930	14	48	57	105
