2	4	1
2	53	385
2	5	22
2	0	47
4	7	47
4	38	13
2	38	310
2	83	6
6	385	47
9	385	47
9	385	6
7	385	43
2	385	206
4	385	22
2	385	168
2	385	478
2	385	0
2	385	2913
2	13	90
2	43	478
2	206	65
2	206	168
4	206	478
2	206	1
2	310	65
2	310	48
2	310	168
2	310	478
2	310	259
2	310	24
2	310	1287
3	22	0
3	102	65
4	102	478
2	102	280
2	59	32
2	59	48
2	65	1
3	32	478
2	32	1
2	32	490
3	48	478
2	48	230
3	168	230
2	168	412
3	3	82
2	3	259
2	0	1
17	478	345
20	478	1
5	478	0
4	478	77
2	478	230
3	478	0
3	478	82
4	478	259
2	478	280
2	478	24
2	478	150
2	478	652
14	345	1
4	345	0
2	345	77
2	345	230
3	345	280
2	345	90
2	345	945
10	1	77
7	1	230
5	1	111
2	1	0
3	1	82
7	1	280
2	1	67
2	1	649
2	1	773
2	1	790
5	0	230
3	0	111
2	0	82
2	0	259
3	0	280
5	230	0
3	230	259
5	230	280
3	111	0
6	111	280
4	259	71
4	259	24
2	259	0
3	259	24
2	259	81
2	259	7
2	259	249
7	280	71
2	280	24
2	280	40
2	280	11
2	280	24
3	280	439
2	280	0
2	40	652
2	11	27
2	11	147
4	27	81
2	81	120
3	120	12
3	120	90
3	90	6
3	90	7
2	90	147
2	24	284
2	6	24
2	6	67
2	6	147
2	6	71
2	236	121
3	7	24
2	7	23
6	7	147
2	24	23
2	24	67
3	24	147
2	24	71
2	23	71
2	96	71
4	147	71
2	147	82
3	147	649
2	147	773
2	71	0
2	71	18
2	71	110
2	71	82
2	71	65
2	71	945
2	14	649
2	25	30
2	0	6
3	82	65
2	82	284
3	82	649
2	82	438
2	0	652
2	0	0
2	32	284
2	32	652
4	65	284
2	65	56
2	65	150
2	65	0
3	65	649
6	65	652
2	65	194
3	284	2
8	284	649
2	284	19
8	284	438
8	284	652
2	284	0
2	284	395
2	56	2
11	56	649
2	56	36
2	56	438
3	56	652
2	62	649
2	62	438
2	62	0
4	150	649
2	150	652
2	150	40
2	0	649
2	2	649
2	2	438
2	2	0
2	649	438
18	649	652
5	649	0
3	649	12
3	649	194
4	649	655
3	649	395
3	649	439
2	649	227
5	36	652
2	36	1
2	36	655
3	36	395
2	36	154
4	438	7
23	438	652
6	438	0
6	438	1
3	438	37
5	438	655
2	438	395
2	438	154
2	438	165
19	652	12
9	652	1
15	652	194
6	652	23
7	652	37
36	652	655
3	652	395
7	652	439
2	652	280
3	0	1
5	0	194
3	0	37
10	0	655
3	0	439
2	1	655
2	12	23
7	12	655
2	12	395
2	12	439
7	1	655
2	1	395
4	194	655
2	655	0
4	655	395
5	655	439
4	655	154
2	0	395
2	1	439
14	395	154
2	395	12
2	395	165
2	395	945
2	395	1068
2	395	1609
2	439	12
2	439	945
4	439	249
2	439	1305
2	154	2
2	154	490
2	154	41
2	14	945
3	38	199
2	199	0
4	199	165
6	199	412
12	199	945
2	199	249
2	0	412
2	0	945
2	0	165
3	0	412
5	0	945
3	30	412
3	30	945
12	165	412
21	165	945
3	165	0
5	412	73
3	412	0
2	412	38
2	412	251
2	412	147
11	945	73
19	945	0
3	945	163
3	945	2
2	22	26
2	0	140
2	0	53
2	26	140
3	11	249
2	78	249
3	2	249
2	6	490
2	30	14
4	30	249
2	30	42
2	18	249
4	25	249
2	25	490
20	14	249
3	14	80
2	0	80
15	249	42
9	249	80
3	249	4
3	249	28
8	249	25
4	249	1
4	249	490
3	249	41
4	249	64
2	249	28
2	249	110
2	249	2
2	249	14
2	249	95
2	249	790
2	0	4
2	42	25
6	80	490
4	25	64
3	25	28
2	490	43
5	490	26
2	490	28
3	490	540
2	490	20
2	490	851
2	490	538
3	41	43
