4.37e-08	6.51e-08	7.36	7.19
3.17e-07	4.19e-07	6.5	6.38
0	0	1000	1000
6.68e-09	1.11e-08	8.17	7.95
1.97e-18	6.4e-18	17.71	17.19
5.31e-07	6.82e-07	6.27	6.17
0	0	1000	1000
6.13e-20	2.08e-19	19.21	18.68
9.38e-08	1.33e-07	7.03	6.88
2.6e-21	9.08e-21	20.59	20.04
6.37e-20	2.15e-19	19.2	18.67
0	0	1000	1000
4.24e-05	4.52e-05	4.37	4.34
2.1e-11	4.7e-11	10.68	10.33
1.44e-36	6.08e-36	35.84	35.22
1.32e-08	2.12e-08	7.88	7.67
2.01e-06	2.4e-06	5.7	5.62
4.3e-09	7.38e-09	8.37	8.13
5.42e-06	6.18e-06	5.27	5.21
2.47e-06	2.92e-06	5.61	5.53
0	0	1000	1000
1.65e-10	3.38e-10	9.78	9.47
3.22e-05	3.46e-05	4.49	4.46
1.19e-07	1.66e-07	6.92	6.78
0	0	1000	1000
2.87e-09	5.05e-09	8.54	8.3
1.31e-09	2.4e-09	8.88	8.62
0	0	1000	1000
0.00027	0.000277	3.57	3.56
5.72e-43	2.51e-42	42.24	41.6
0	0	1000	1000
3.37e-11	7.39e-11	10.47	10.13
1.82e-07	2.49e-07	6.74	6.6
6.05e-08	8.83e-08	7.22	7.05
1.54e-06	1.86e-06	5.81	5.73
2.11e-06	2.51e-06	5.68	5.6
7.3e-05	7.68e-05	4.14	4.11
1.68e-16	5.1e-16	15.77	15.29
0	0	1000	1000
1.84e-06	2.21e-06	5.74	5.66
2.46e-10	4.94e-10	9.61	9.31
1.01e-07	1.43e-07	6.99	6.84
5.92e-17	1.83e-16	16.23	15.74
5.33e-61	2.44e-60	60.27	59.61
0	0	1000	1000
0	0	1000	1000
3.65e-10	7.19e-10	9.44	9.14
5.88e-11	1.26e-10	10.23	9.9
0.000101	0.000105	4	3.98
1.53e-05	1.68e-05	4.81	4.77
1.76e-05	1.92e-05	4.75	4.72
0	0	1000	1000
0	0	1000	1000
7.16e-43	3.13e-42	42.15	41.5
2.41e-21	8.43e-21	20.62	20.07
1.31e-23	4.81e-23	22.88	22.32
1.88e-95	8.85e-95	94.73	94.05
1.56e-06	1.89e-06	5.81	5.72
7.42e-16	2.19e-15	15.13	14.66
0.000112	0.000117	3.95	3.93
0	0	1000	1000
0	0	1000	1000
0	0	1000	1000
0	0	1000	1000
0	0	1000	1000
0	0	1000	1000
2.28e-10	4.59e-10	9.64	9.34
1.04e-27	4.07e-27	26.98	26.39
7.01e-08	1.01e-07	7.15	6.99
8.66e-08	1.24e-07	7.06	6.91
0	0	1000	1000
0	0	1000	1000
4.82e-10	9.35e-10	9.32	9.03
0	0	1000	1000
8.35e-09	1.37e-08	8.08	7.86
5.95e-11	1.27e-10	10.23	9.89
1.9e-10	3.87e-10	9.72	9.41
0	0	1000	1000
0	0	1000	1000
3.22e-44	1.42e-43	43.49	42.85
7.01e-08	1.01e-07	7.15	6.99
1.43e-05	1.58e-05	4.84	4.8
0.000464	0.000473	3.33	3.33
0.000591	0.000601	3.23	3.22
0.00133	0.00134	2.88	2.87
8.66e-08	1.24e-07	7.06	6.91
0.000572	0.000582	3.24	3.24
2.65e-10	5.3e-10	9.58	9.28
0.00108	0.00109	2.97	2.96
1.61e-10	3.3e-10	9.79	9.48
1.92e-05	2.09e-05	4.72	4.68
1.32e-07	1.83e-07	6.88	6.74
5.54e-07	7.09e-07	6.26	6.15
3.69e-11	8.06e-11	10.43	10.09
0	0	1000	1000
2.11e-12	5.09e-12	11.68	11.29
1.19e-16	3.64e-16	15.92	15.44
2.71e-31	1.1e-30	30.57	29.96
8.28e-06	9.3e-06	5.08	5.03
0	0	1000	1000
0	0	1000	1000
0	0	1000	1000
0	0	1000	1000
0	0	1000	1000
1.59e-10	3.26e-10	9.8	9.49
1.92e-09	3.46e-09	8.72	8.46
1.16e-36	4.89e-36	35.94	35.31
8.36e-61	3.82e-60	60.08	59.42
0	0	1000	1000
6.68e-16	1.98e-15	15.17	14.7
0	0	1000	1000
8.12e-07	1.02e-06	6.09	5.99
3.61e-05	3.86e-05	4.44	4.41
1.24e-05	1.37e-05	4.91	4.86
2.19e-33	9.09e-33	32.66	32.04
0	0	1000	1000
3.33e-07	4.39e-07	6.48	6.36
0	0	1000	1000
1.02e-09	1.91e-09	8.99	8.72
0	0	1000	1000
0	0	1000	1000
4.32e-08	6.43e-08	7.36	7.19
1.42e-12	3.47e-12	11.85	11.46
1.26e-06	1.55e-06	5.9	5.81
0	0	1000	1000
2.45e-08	3.77e-08	7.61	7.42
5.4e-10	1.04e-09	9.27	8.98
4.79e-15	1.36e-14	14.32	13.87
5.11e-09	8.68e-09	8.29	8.06
6.45e-08	9.37e-08	7.19	7.03
2.21e-15	6.38e-15	14.66	14.19
4.9e-07	6.32e-07	6.31	6.2
0	0	1000	1000
1.01e-13	2.67e-13	12.99	12.57
0	0	1000	1000
3.21e-60	1.46e-59	59.49	58.83
1.32e-31	5.38e-31	30.88	30.27
3.44e-14	9.35e-14	13.46	13.03
2.82e-11	6.23e-11	10.55	10.21
3.09e-32	1.27e-31	31.51	30.9
0	0	1000	1000
4.11e-10	8.04e-10	9.39	9.09
9.16e-11	1.93e-10	10.04	9.72
1.11e-13	2.93e-13	12.95	12.53
1.59e-07	2.19e-07	6.8	6.66
2.52e-06	2.98e-06	5.6	5.53
4.21e-10	8.23e-10	9.38	9.08
3.83e-08	5.75e-08	7.42	7.24
1.88e-06	2.25e-06	5.73	5.65
0.00013	0.000135	3.89	3.87
0	0	1000	1000
3.53e-09	6.13e-09	8.45	8.21
1.28e-18	4.18e-18	17.89	17.38
8.98e-18	2.86e-17	17.05	16.54
2.55e-14	6.98e-14	13.59	13.16
1.48e-06	1.79e-06	5.83	5.75
7e-18	2.24e-17	17.15	16.65
6.18e-07	7.85e-07	6.21	6.11
1.69e-06	2.04e-06	5.77	5.69
3.11e-07	4.11e-07	6.51	6.39
0.000578	0.000588	3.24	3.23
0.000233	0.000239	3.63	3.62
4.45e-13	1.13e-12	12.35	11.95
9.38e-14	2.48e-13	13.03	12.61
8.94e-09	1.46e-08	8.05	7.83
1.23e-07	1.72e-07	6.91	6.77
0	0	1000	1000
0	0	1000	1000
6e-11	1.28e-10	10.22	9.89
0	0	1000	1000
2.4e-08	3.69e-08	7.62	7.43
5.14e-10	9.93e-10	9.29	9
3.39e-11	7.43e-11	10.47	10.13
5.64e-11	1.21e-10	10.25	9.92
0	0	1000	1000
0	0	1000	1000
0	0	1000	1000
9.69e-10	1.81e-09	9.01	8.74
2.24e-07	3.02e-07	6.65	6.52
1.05e-07	1.49e-07	6.98	6.83
0	0	1000	1000
0	0	1000	1000
3.81e-07	4.98e-07	6.42	6.3
2e-05	2.18e-05	4.7	4.66
5.2e-07	6.68e-07	6.28	6.18
9.45e-06	1.06e-05	5.02	4.98
3.3e-08	4.99e-08	7.48	7.3
0	0	1000	1000
0	0	1000	1000
0	0	1000	1000
2.17e-08	3.36e-08	7.66	7.47
0	0	1000	1000
2.74e-12	6.56e-12	11.56	11.18
0	0	1000	1000
1.02e-11	2.34e-11	10.99	10.63
5.51e-07	7.06e-07	6.26	6.15
3.55e-07	4.66e-07	6.45	6.33
6.27e-07	7.96e-07	6.2	6.1
2.3e-11	5.12e-11	10.64	10.29
8.6e-09	1.41e-08	8.07	7.85
9.77e-07	1.21e-06	6.01	5.92
8.75e-05	9.16e-05	4.06	4.04
6.89e-08	9.98e-08	7.16	7
2.3e-10	4.63e-10	9.64	9.33
6.23e-08	9.08e-08	7.21	7.04
1.08e-06	1.33e-06	5.97	5.88
2.89e-07	3.84e-07	6.54	6.42
8.94e-11	1.88e-10	10.05	9.73
1.25e-09	2.31e-09	8.9	8.64
0.000268	0.000275	3.57	3.56
7.51e-05	7.89e-05	4.12	4.1
5.17e-25	1.94e-24	24.29	23.71
1.47e-09	2.68e-09	8.83	8.57
3.77e-12	8.94e-12	11.42	11.05
4.76e-11	1.03e-10	10.32	9.99
