PET counts	No. of clusters	No.intra-chrom clusters	No.inter-chrom clusters	Percent of intra-chrom clusters
4	10610	9556	1054	0.90066
5	4262	4147	115	0.973017
6	2132	2111	21	0.99015
7	1285	1272	13	0.989883
8	864	854	10	0.988426
9	546	532	14	0.974359
>=10	2564	2515	49	0.980889
Total	22263	20987	1276	0.942685
