2	20809828
2	41462
2	65862474
2	106106
2	37473
2	245959
2	5162916
3	362891
2	159103601
9	33554
7	46933
2	16092
2	66241979
2	11040603
2	16309
2	247133196
2	205914255
4	12878
2	10730
4	17679
3	84256878
2	22565
2	45666508
2	10594
2	45727734
2	132834
2	9040
2	182601656
2	28699
2	226783479
2	16382
2	165860608
3	307855
2	31721
4	17965
9	79359
2	85081685
4	229852186
2	19734802
2	74879
2	384207
2	16846
2	167162
3	63693
2	18404
2	73770262
2	243009761
2	108937192
2	204341452
2	11048
2	50683
2	48688
2	44546
2	9641
2	144287
2	32030871
2	721343
2	159493784
2	176237116
2	117915
2	143222
2	82768
6	168816
3	128282
3	108467
2	108509354
2	5605159
2	42562
2	175135
2	82820
2	235171913
2	63643
2	45998879
2	41932
2	167028678
2	193813585
2	115423107
2	216415055
2	66545
2	30242635
2	204032929
2	203820478
2	158846979
2	27258
2	181890433
5	50901847
2	26796
6	22851
2	154048498
2	16991
3	19972
3	52483593
2	9557
2	73895993
2	6449728
2	38731505
2	38792
2	201391619
2	220847417
2	26337
2	167777
2	181797126
2	64225
2	218715599
2	244951347
2	179939337
2	242547489
2	57145152
2	112742490
2	43769252
2	163410199
2	53408
2	28778789
2	51220670
2	210745461
2	23884
2	196679663
2	23924088
2	111476061
3	177414042
4	188591188
2	12759
2	4869776
4	62848324
3	203810248
2	307465
2	164919627
4	66165356
2	92015
2	233482571
2	204142783
2	9176
2	30239651
3	179351283
3	114103
2	7833
2	205296108
2	239328
2	149030989
3	91179
2	83367050
2	213373223
3	155069439
2	17711
2	23798671
3	5903119
2	114487891
2	243368438
4	47665
2	23595
2	29735821
2	98637015
2	15387
2	42811523
2	149772
2	82528229
2	140279
2	204702090
2	42099112
2	76928252
2	198262088
2	60475524
2	232640699
2	1083033
3	28528
2	10843
3	110865187
2	43363854
5	102263
3	195598
2	100124
2	93671
2	91955
10	86487
3	89571
2	229035731
8	84635
3	34842
2	87656
4	181093352
2	150038940
3	82930
2	59676961
2	181633
2	149645211
3	215427663
2	182934781
2	196542405
2	236919738
2	12345
2	89120
2	77543
2	154262605
2	48025
4	31200
2	41979
2	52156165
2	24674732
2	5078780
3	34417
2	176584482
2	25441530
2	152129092
2	148982971
3	4665637
10	186463
3	33768
2	98163305
2	219308
3	187635
2	38946
2	9581
2	34662302
2	121066
2	19841
2	85804448
2	219049103
2	103791829
2	150673
2	107595565
2	142884
3	224109625
2	152083928
2	92433493
2	32952
3	202499068
